agl sales,Electricity,10,
winenergy,Electricity,10,
agl retail,Gas,11,
sydney water,Water,12,
blacktown council,Council Rates,13,
vodafone,Vodafone,21,
tpg,Internet,22,
nhf dividend,NIB,23,
nib 118,NIB,23,
aami,Insurance,24,
tal.*melb,Life Insurance,25,
ln repay,Home Loan,30,
westpac.*direct dr,Home Loan,30,
\bfmc\b,Home Loan,30,
bpay citibank credit,Credit Card,31,
transfer credit card,Credit Card,31,
auto_interest,Loan,32,
initial loan,Loan,32,
ukhan it,Loan,32,
itp,Accounting,33,
mail redirection,Moving,34,
stratvest.*rent,Rent,34,
walsh.*sullivan.*rent,Rental Income,34,
account.*fee$,Bank Fees,35,
adjustment,Bank Fees,35,
annual package fee,Bank Fees,35,
registration fee,Bank Fees,35,
settlement fee,Bank Fees,35,
transaction fe,Bank Fees,35,
missed payment charge,Bank Fees,35,
equi mycredit,Equifax,35,
\binterest\b,Interest,35,
debit interest,Interest,35,
\bveda\b,Veda,35,
autorecyclers,Car Maintenance,40,
cmrc holding,Car Maintenance,40,
exhaust,Car Maintenance,40,
mechanic,Car Maintenance,40,
super cheap au,Car Maintenance,40,
carwash,Car Maintenance,40,
tyre ,Car Maintenance,40,
nrma,NRMA,40,
carpark,Parking,40,
pittwater counci,Parking,40,
burwood council,Parking,40,
designa sabar.*lidcombe,Parking,40,
parking,Parking,40,
syd aprt.*carp,Parking,40,
rms blacktown,RMS,40,
rta.*surry,RMS,40,
snsw blacktown,RMS,40,
autobarn,Car,40,
ktas\b.*bankstown,Car Maintenance,40,
hornsby sh cncl,Parking,40,
care park,Parking,40,
\bbp\b,Fuel,41,
7-eleven,Fuel,41,
ozipak.*granville,Fuel,41,
metro blacktown,Fuel,41,
bp con,Fuel,41,
bp dural,Fuel,41,
bp parkway,Fuel,41,
caltex,Fuel,41,
coles express,Fuel,41,
ENHANCE GRANVILLE,Fuel,41,
harper.*blackt,Fuel,41,
macha.*ssv,Fuel,41,
united yagoona,Fuel,41,
budget auburn,Fuel,41,
petro aust,Fuel,41,
speedway,Fuel,41,
petrol,Fuel,41,
wow parklea,Fuel,41,
ctx wow,Fuel,41,
smpr.*chester,Fuel,41,
qld motorways,Tolls,41,
go via,Tolls,41,
opal chip,Opal,42,
transport,Travel,42,
aust intl academy,School,51,
malek fahd,School,51,
mfbh,School,51,
rohaan tuition,Tuition,51,
five.*senses,School Books,51,
naplan,School,51,
bcc children,Preschool,52,
goodstart ,Preschool,52,
quakers hill ps,Preschool,52,
salamah college,School,52,
amity college,School,52,
faz uniform,School,52,
mhena athletics,Activities,52,
al bayan,Quran Class,54,
quran class,Quran Class,54,
football aust,Soccer,55,
regents park fc,Soccer,55,
healthfit,F45,55,
\bf45\b,F45,55,
\brebel\b,Fitness,55,
\bnike\b,Fitness,55,
athlts,Fitness,55,
runyaway,Runyaway,55,
sneakers,Fitness,55,
adidas,Fitness,55,
whta\b,Tennis,55,
athletes,Sports,55,
aldi,Aldi,60,
\bcake\b,Bakery,60,
body cocoon,Beauty,60,
cleaning and kids,Cleaning/Kids,60,
gloria jeans,Coffee,60,
coles.*blacktown,Coles,60,
coles.*parramatta,Coles,60,
coles.*castle,Coles,60,
coles.*north roc,Coles,60,
coles.*stanhop,Coles,60,
coles.*rouse,Coles,60,
coles.*greenacre,Coles,60,
coles.*roselands,Coles,60,
coles.*wattle,Coles,60,
coles.*killarney,Coles,60,
coles.*kings lan,Coles,60,
coles.*casula,Coles,60,
hyperstar,Groceries,60,
shaver shop,Department Store,60,
autograph,Department Store,60,
beauty,Department Store,60,
best and less,Department Store,60,
big w ,Department Store,60,
dollar king,Department Store,60,
mr snail,Department Store,60,
target,Department Store,60,
bonds rouse,Department Store,60,
reject shop,Department Store,60,
dry clean,Dry Cleaning,60,
hj circular quay,Hungry Jacks,60,
hungry jacks,Hungry Jacks,60,
\biga\b,IGA,60,
desi hatti,Indian,60,
rehmat super,Indian,60,
krishna.*quakers,Indian,60,
14th star.*regents,Indian,60,
chaudhary traders,Indian,60,
kmart,K Mart,60,
internet withdrawal.*saman$,Kharcha,60,
saman kitty,Kharcha,60,
saman weekly,Kharcha,60,
mathers,Mathers,60,
mcdonalds,McDonalds,60,
 meat ,Meat,60,
halal meat,Meat,60,
lilys chicken,Meat,60,
redlea chicken,Meat,60,
\bred lea\b,Meat,60,
amazon,Online,60,
 cafe ,Restaurant,60,
fish n chix,Restaurant,60,
sushiya,Restaurant,60,
kfc ,Restaurant,60,
krispy kreme,Restaurant,60,
oporto,Restaurant,60,
honey kiama,Restaurant,60,
tandoor,Restaurant,60,
student biryani,Restaurant,60,
l s & j,Restaurant,60,
\bpizza\b,Restaurant,60,
subway,Restaurant,60,
fish.*chips,Restaurant,60,
el jannah,Restaurant,60,
kabul taste,Restaurant,60,
CHAIYARPHRUEK,Restaurant,60,
grocer,Supermarket,60,
pameer super,Supermarket,60,
la star.*berala,Supermarket,60,
woolworths.*lidcombe,Woolworths,60,
woolworths.*granville,Woolworths,60,
woolworths.*glenw,Woolworths,60,
woolworths.*greenw,Woolworths,60,
woolworths.*po,Woolworths,60,
woolworths.*prospe,Woolworths,60,
woolworths.*seven,Woolworths,60,
woolworths.*ches,Woolworths,60,
woolworths.*carnes,Woolworths,60,
woolworths.*berala,Woolworths,60,
woolworths.*auburn,Woolworths,60,
woolworths.*bankstown,Woolworths,60,
woolworths.*bass,Woolworths,60,
woolworths.*blacktown,Woolworths,60,
woolworths.*chul,Woolworths,60,
woolworths.*parra,Woolworths,60,
herbalife,Herbalife,60,
suhhtan,Restaurant,60,
al tazah,Restaurant,60,
westpoint growers,Grocery,60,
healthy life,Grocery,60,
supermarket,Grocery,60,
dr candy,Candy,60,
junman fresh,Fruit/Veg,60,
woolworths.*cherry,Woolworths,60,
woolworths.*rosehill,Woolworths,60,
costco,Costco,60,
